电影名称,导演,主演,评分,评分人数,引述
哈利·波特与魔法石,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,8.7,244931,童话世界的开端。
风之谷,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,8.8,172217,动画片的圣经。
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,8.7,194078,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
侧耳倾听,近藤喜文 Yoshifumi Kondo,本名阳子 Youko Honna / 小林桂树 K...,8.8,163697,少女情怀总是诗。
萤火虫之墓,高畑勋 Isao Takahata,辰己努 / 白石绫乃 / 志乃原良子,8.7,199435,幸福是生生不息，却难以触及的远。 
穿条纹睡衣的男孩,马克·赫门 Mark Herman,阿沙·巴特菲尔德 Asa Butterfield / ...,8.9,137442,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
超脱,托尼·凯耶 Tony Kaye,艾德里安·布洛迪 Adrien Brody / 马西...,8.8,167857,穷尽一生，我们要学会的，不过是彼此拥抱。
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,,8.7,277399,和谐的生活离不开摸头与被摸头。
消失的爱人,大卫·芬奇 David Fincher,本·阿弗莱克 Ben Affleck / 罗莎蒙...,8.7,341861,年度最佳date movie。
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,汤姆·汉克斯 Tom Hanks...,8.6,220249,有时候幸福需要等一等。 
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,,9.0,97580,大海啊，不全是水。
菊次郎的夏天,北野武 Takeshi Kitano,北野武 Takeshi Kitano / 关口雄介 Yus...,8.7,175820,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
倩女幽魂,程小东 Siu-Tung Ching,张国荣 Leslie Cheung / 王祖贤 Joey W...,8.6,241065,两张绝世的脸。 
七武士,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 志村乔 ...,9.2,75105,时代悲歌。
恐怖直播,金秉祐 Byeong-woo Kim,河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...,8.7,209616,恐怖分子的“秋菊打官司”。
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,...,8.5,363335,Mr. I Don't Care其实也有Care的时候。
岁月神偷,罗启锐 Alex Law,吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍...,8.6,300393,岁月流逝，来日可追。
电锯惊魂,詹姆斯·温 James Wan,雷·沃纳尔 Leigh Whannell / 加利·艾...,8.7,193927,真相就在眼前。
谍影重重3,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,8.7,176007,像吃了苏打饼一样干脆的电影。
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,志田未来 Mirai Shida / 神木...,8.7,210413,曾经的那段美好会沉淀为一辈子的记忆。
红辣椒,今敏 Satoshi Kon,林原惠美 Megumi Hayashibara / 古谷彻 T...,8.8,126303,梦的勾结。
燃情岁月,爱德华·兹威克 Edward Zwick,安东尼·霍普金斯 Anthony Hopki...,8.8,146160,传奇，不是每个人都可以拥有。
真爱至上,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 柯林...,8.5,300883,爱，是个动词。
雨人,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,8.6,205106,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,8.5,387580,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
杀人回忆,奉俊昊 Joon-ho Bong,宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,8.6,202556,关于连环杀人悬案的集体回忆。
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,8.5,271417,一个针管引发的血案。
东邪西毒,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 张曼玉 Maggie C...,8.6,242501,电影诗。
虎口脱险,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,8.9,104487,永远看不腻的喜剧。
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,,8.7,360299,老少皆宜，这就是好莱坞动画的魅力。
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,约...,8.6,231261,不要给它起名字，起了名字就有感情了。
卢旺达饭店,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,8.8,115363,当这个世界闭上双眼，他却敞开了怀抱。
喜宴,李安,赵文瑄 / 归亚蕾 / 金素梅,8.8,133813,中国家庭的喜怒哀乐忍。
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔丽·波曼 Natalie P...,8.5,405349,黑暗之美。
小森林 夏秋篇,森淳一 Junichi Mori,桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,8.9,121557,那些静得只能听见呼吸的日子里，你明白孤独即生活。
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,周星驰 Stephen Ch...,8.5,298330,我是一个演员。
魂断蓝桥,Mervyn LeRoy,Vivien Leigh / Robert Taylor / Lucile Watson,8.8,126163,中国式内在的美国电影。
穿越时空的少女,细田守 Mamoru Hosoda,仲里依纱 Riisa Naka / 石田卓也 Takuya...,8.6,180271,爱上未来的你。 
猜火车,丹尼·博伊尔 Danny Boyle,伊万·麦克格雷格 Ewan McGregor / ...,8.5,242747,不可猜的青春迷笛。 
